ds,volume,vix,interest_rate,cpi,y,cap,prophet_forecast,residual,lgb_correction,final_forecast
2015-06-04,31374600.0,14.710000038146973,0.13,237.657,4487.03,26515.992,4337.764813045221,149.26518695477898,149.26299159803756,4487.027804643259
2015-06-05,22641700.0,14.210000038146973,0.13,237.657,4477.19,26515.992,4353.918293395428,123.27170660457159,134.62861564056723,4488.546909035996
2015-06-06,22641700.0,14.210000038146973,0.13,237.657,4502.964,26515.992,4356.649434716382,146.31456528361832,134.62861564056723,4491.278050356949
2015-06-07,22641700.0,14.210000038146973,0.13,237.657,4502.964,26515.992,4368.663964486325,134.30003551367463,134.62861564056723,4503.292580126893
2015-06-08,24549200.0,15.289999961853027,0.13,237.657,4431.51,26515.992,4363.942771173462,67.56722882653867,67.55538489083311,4431.498156064295
2015-06-09,27554600.0,14.470000267028809,0.13,237.657,4427.61,26515.992,4431.179531278058,-3.5695312780580934,-3.5651936768480006,4427.61433760121
2015-06-10,30297900.0,13.220000267028809,0.13,237.657,4485.46,26515.992,4513.464470747142,-28.004470747141568,-28.006079202775556,4485.458391544366
2015-06-11,17593500.0,12.850000381469727,0.13,237.657,4488.47,26515.992,4536.391935786634,-47.921935786634094,-47.92464288387942,4488.467292902755
2015-06-12,27201800.0,13.779999732971191,0.13,237.657,4453.79,26515.992,4488.159473499019,-34.36947349901948,-35.24541633608712,4452.914057162932
2015-06-13,27201800.0,13.779999732971191,0.13,237.657,4457.368,26515.992,4488.466925550303,-31.098925550302738,-35.24541633608712,4453.221509214216
2015-06-14,27201800.0,13.779999732971191,0.13,237.657,4457.368,26515.992,4497.633575190368,-40.2655751903676,-35.24541633608712,4462.388158854281
2015-06-15,31238800.0,15.390000343322754,0.13,237.657,4432.92,26515.992,4461.663149129241,-28.74314912924092,-28.736373931256736,4432.926775197984
2015-06-16,16456900.0,14.8100004196167,0.13,237.657,4455.9,26515.992,4493.028801950622,-37.1288019506228,-37.128925634072125,4455.89987631655
2015-06-17,23296700.0,14.5,0.13,237.657,4468.98,26515.992,4522.210400486354,-53.23040048635448,-53.227044341784264,4468.983356144569
2015-06-18,43032400.0,13.1899995803833,0.13,237.657,4531.85,26515.992,4629.0443829981405,-97.1943829981401,-97.19202438284862,4531.852358615291
2015-06-19,27877600.0,13.960000038146973,0.13,237.657,4513.42,26515.992,4560.092591737864,-46.67259173786351,-68.01611506451773,4492.0764766733455
2015-06-20,27877600.0,13.960000038146973,0.13,237.657,4480.614,26515.992,4556.569732720722,-75.95573272072215,-68.01611506451773,4488.553617656204
